University,State,Campus,City
University of Newcastle,New Castle,new castle city,New Castle
University Of Queensland,Queensland,Brisbane CBD,Brisbane
University Of Queensland,Queensland,External,Brisbane
University Of Queensland,Queensland,Gatton,Brisbane
University Of Queensland,Queensland,Herston,Brisbane
University Of Queensland,Queensland,Ipswich,Brisbane
University Of Queensland,Queensland,St Lucia,Brisbane
University Of Queensland,Queensland,Teaching Hospitals,Brisbane
University Of South Australia,South Australia,City East,Adelaide
University Of South Australia,South Australia,City West,Adelaide
University Of South Australia,South Australia,Magill,Adelaide
University Of South Australia,South Australia,Mawson Lake,Adelaide
University Of Southern Queensland,Queensland,Ipswich,Ipswich
University Of Southern Queensland,Queensland,Springfield,Springfield
University Of Southern Queensland,Queensland,Toowoomba,Toowoomba
University of Southern Queensland,Queensland,Stanthorpe,Stanthorpe
University Of Sunshine Coast,Queensland,Caboolture,Brisbane
University Of Sunshine Coast,Queensland,Gympie,Gympie
University Of Sunshine Coast,Queensland,Sippy Downs,Sippy Downs
University Of Sunshine Coast,Queensland,South Bank,Brisbane
University Of Sunshine Coast,Queensland,Sunshine Coast,Sunshine Coast
University Of Sunshine Coast,Queensland,Noosa,Sunshine Coast
University Of Sydney,New South Wales,Camperdown,Sydney
University Of Sydney,New South Wales,Cumberland,Sydney
University Of Sydney,New South Wales,Darlington,Sydney
University Of Sydney,New South Wales,Mallett Street,Sydney
University Of Sydney,New South Wales,Surry Hills,Sydney
